milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
1523615444102,1048576,106,-56,-1,-1,0
1523615444102,720896,106,-56,-1,-1,0
1523615444102,393216,106,-56,-1,-1,0
1523615444102,131072,106,-56,-1,-1,0
1523615444102,-65536,106,-56,-1,-1,0
1523615444154,-196608,106,-56,-1,-1,0
1523615444154,-262144,106,-56,-1,-1,0
1523615444154,-393216,106,-56,-1,-1,0
1523615444154,-458752,106,-56,-1,-1,0
1523615444154,-524288,106,-56,-1,-1,0
1523615444182,-458752,106,-56,-1,-1,0
1523615444182,-393216,106,-56,-1,-1,0
1523615444182,-327680,106,-56,-1,-1,0
1523615444182,-327680,106,-56,-1,-1,0
1523615444182,-327680,106,-56,-1,-1,0
1523615444222,-327680,106,-56,-1,-1,0
1523615444222,-393216,106,-56,-1,-1,0
1523615444222,-393216,106,-56,-1,-1,0
1523615444222,-393216,106,-56,-1,-1,0
1523615444222,-393216,106,-56,-1,-1,0
1523615444263,-458752,106,-56,-1,-1,0
1523615444263,-524288,106,-56,-1,-1,0
1523615444263,-524288,106,-56,-1,-1,0
1523615444263,-524288,106,-56,-1,-1,0
1523615444263,-589824,106,-56,-1,-1,0
1523615444303,-589824,106,-56,-1,-1,0
1523615444303,-524288,106,-56,-1,-1,0
1523615444303,-589824,106,-56,-1,-1,0
1523615444303,-655360,106,-56,-1,-1,0
1523615444303,-720896,106,-56,-1,-1,0
1523615444343,-720896,104,-56,-1,-1,0
1523615444343,-786432,104,-56,-1,-1,0
1523615444343,-786432,104,-56,-1,-1,0
1523615444343,-720896,104,-56,-1,-1,0
1523615444343,-589824,104,-56,-1,-1,0
1523615444383,-589824,104,-56,-1,-1,0
1523615444383,-589824,104,-56,-1,-1,0
1523615444383,-589824,104,-56,-1,-1,0
1523615444383,-720896,104,-56,-1,-1,0
1523615444383,-786432,104,-56,-1,-1,0
1523615444423,-786432,104,-56,-1,-1,0
1523615444423,-786432,104,-56,-1,-1,0
1523615444423,-851968,104,-56,-1,-1,0
1523615444423,-851968,104,-56,-1,-1,0
1523615444423,-851968,104,-56,-1,-1,0
1523615444463,-917504,104,-56,-1,-1,0
1523615444463,-589824,104,-56,-1,-1,0
1523615444463,1179648,104,-56,-1,-1,0
1523615444463,4718592,104,-56,-1,-1,0
1523615444463,7405568,104,-56,-1,-1,0
1523615444503,6356992,104,-56,-1,-1,0
1523615444503,2883584,104,-56,-1,-1,0
1523615444503,65536,104,-56,-1,-1,0
1523615444503,-655360,104,-56,-1,-1,0
1523615444503,-655360,104,-56,-1,-1,0
1523615444543,-655360,104,-56,-1,-1,0
1523615444543,-720896,104,-56,-1,-1,0
1523615444543,-720896,104,-56,-1,-1,0
1523615444543,-589824,104,-56,-1,-1,0
1523615444543,-524288,104,-56,-1,-1,0
1523615444583,-458752,104,-56,-1,-1,0
1523615444583,-393216,104,-56,-1,-1,0
1523615444583,-262144,104,-56,-1,-1,0
1523615444583,-196608,104,-56,-1,-1,0
1523615444583,0,104,-56,-1,-1,0
1523615444623,65536,104,-56,-1,-1,0
1523615444623,262144,104,-56,-1,-1,0
1523615444623,458752,104,-56,-1,-1,0
1523615444623,720896,104,-56,-1,-1,0
1523615444623,1048576,104,-56,-1,-1,0
1523615444663,1310720,104,-56,-1,-1,0
1523615444663,1507328,104,-56,-1,-1,0
1523615444663,1638400,104,-56,-1,-1,0
1523615444663,1638400,104,-56,-1,-1,0
1523615444663,1572864,104,-56,-1,-1,0
1523615444703,1441792,104,-56,-1,-1,0
1523615444703,1114112,104,-56,-1,-1,0
1523615444703,655360,104,-56,-1,-1,0
1523615444703,327680,104,-56,-1,-1,0
1523615444703,65536,104,-56,-1,-1,0
1523615444743,-65536,104,-56,-1,-1,0
1523615444743,-196608,104,-56,-1,-1,0
1523615444743,-393216,104,-56,-1,-1,0
1523615444743,-458752,104,-56,-1,-1,0
1523615444743,-458752,104,-56,-1,-1,0
1523615444792,-393216,104,-56,-1,-1,0
1523615444792,-458752,104,-56,-1,-1,0
1523615444792,-458752,104,-56,-1,-1,0
1523615444792,-458752,104,-56,-1,-1,0
1523615444792,-393216,104,-56,-1,-1,0
1523615444823,-327680,104,-56,-1,-1,0
1523615444823,-393216,104,-56,-1,-1,0
1523615444823,-458752,104,-56,-1,-1,0
1523615444823,-458752,104,-56,-1,-1,0
1523615444823,-524288,104,-56,-1,-1,0
1523615444863,-524288,104,-56,-1,-1,0
1523615444863,-524288,104,-56,-1,-1,0
1523615444863,-589824,104,-56,-1,-1,0
1523615444863,-655360,104,-56,-1,-1,0
1523615444863,-655360,104,-56,-1,-1,0
1523615444903,-720896,103,-56,-1,-1,0
1523615444903,-786432,103,-56,-1,-1,0
1523615444903,-786432,103,-56,-1,-1,0
1523615444903,-786432,103,-56,-1,-1,0
1523615444903,-786432,103,-56,-1,-1,0
1523615444943,-786432,103,-56,-1,-1,0
1523615444943,-655360,103,-56,-1,-1,0
1523615444943,-589824,103,-56,-1,-1,0
1523615444943,-655360,103,-56,-1,-1,0
1523615444943,-720896,103,-56,-1,-1,0
1523615444983,-851968,103,-56,-1,-1,0
1523615444983,-917504,103,-56,-1,-1,0
1523615444983,-851968,103,-56,-1,-1,0
1523615444983,-851968,103,-56,-1,-1,0
1523615444983,-917504,103,-56,-1,-1,0
1523615445023,-983040,103,-56,-1,-1,0
1523615445023,-917504,103,-56,-1,-1,0
1523615445023,-983040,103,-56,-1,-1,0
1523615445023,-983040,103,-56,-1,-1,0
1523615445023,131072,103,-56,-1,-1,0
1523615445063,3211264,103,-56,-1,-1,0
1523615445063,6684672,103,-56,-1,-1,0
1523615445063,7274496,103,-56,-1,-1,0
1523615445063,4063232,103,-56,-1,-1,0
1523615445063,393216,103,-56,-1,-1,0
1523615445103,-1048576,103,-56,-1,-1,0
1523615445103,-1048576,103,-56,-1,-1,0
1523615445103,-917504,103,-56,-1,-1,0
1523615445103,-786432,103,-56,-1,-1,0
1523615445103,-786432,103,-56,-1,-1,0
1523615445144,-720896,103,-56,-1,-1,0
1523615445144,-720896,103,-56,-1,-1,0
1523615445144,-655360,103,-56,-1,-1,0
1523615445144,-524288,103,-56,-1,-1,0
1523615445144,-458752,103,-56,-1,-1,0
1523615445183,-393216,103,-56,-1,-1,0
1523615445183,-262144,103,-56,-1,-1,0
1523615445183,-131072,103,-56,-1,-1,0
1523615445183,65536,103,-56,-1,-1,0
1523615445183,262144,103,-56,-1,-1,0
1523615445223,524288,103,-56,-1,-1,0
1523615445223,851968,103,-56,-1,-1,0
1523615445223,1179648,103,-56,-1,-1,0
1523615445223,1507328,103,-56,-1,-1,0
1523615445223,1638400,103,-56,-1,-1,0
1523615445263,1638400,103,-56,-1,-1,0
1523615445263,1507328,103,-56,-1,-1,0
1523615445263,1376256,103,-56,-1,-1,0
1523615445263,983040,103,-56,-1,-1,0
1523615445263,589824,103,-56,-1,-1,0
1523615445303,196608,103,-56,-1,-1,0
1523615445303,-65536,103,-56,-1,-1,0
1523615445303,-327680,103,-56,-1,-1,0
1523615445303,-524288,103,-56,-1,-1,0
1523615445303,-655360,103,-56,-1,-1,0
1523615445343,-786432,103,-56,-1,-1,0
1523615445343,-786432,103,-56,-1,-1,0
1523615445343,-786432,103,-56,-1,-1,0
1523615445343,-720896,103,-56,-1,-1,0
1523615445343,-655360,103,-56,-1,-1,0
1523615445383,-720896,103,-56,-1,-1,0
1523615445383,-720896,103,-56,-1,-1,0
1523615445383,-720896,103,-56,-1,-1,0
1523615445383,-720896,103,-56,-1,-1,0
1523615445383,-720896,103,-56,-1,-1,0
1523615445431,-655360,103,-56,-1,-1,0
1523615445431,-589824,103,-56,-1,-1,0
1523615445431,-589824,103,-56,-1,-1,0
1523615445431,-655360,103,-56,-1,-1,0
1523615445431,-720896,103,-56,-1,-1,0
1523615445463,-786432,103,-56,-1,-1,0
1523615445463,-851968,103,-56,-1,-1,0
1523615445463,-917504,103,-56,-1,-1,0
1523615445463,-917504,103,-56,-1,-1,0
1523615445463,-917504,103,-56,-1,-1,0
1523615445502,-983040,102,-56,-1,-1,0
1523615445502,-917504,102,-56,-1,-1,0
1523615445502,-851968,102,-56,-1,-1,0
1523615445502,-786432,102,-56,-1,-1,0
1523615445502,-786432,102,-56,-1,-1,0
1523615445542,-720896,102,-56,-1,-1,0
1523615445542,-786432,102,-56,-1,-1,0
1523615445542,-917504,102,-56,-1,-1,0
1523615445542,-983040,102,-56,-1,-1,0
1523615445542,-983040,102,-56,-1,-1,0
1523615445583,-983040,102,-56,-1,-1,0
1523615445583,-983040,102,-56,-1,-1,0
1523615445583,-983040,102,-56,-1,-1,0
1523615445583,-983040,102,-56,-1,-1,0
1523615445583,-983040,102,-56,-1,-1,0
1523615445623,-983040,102,-56,-1,-1,0
1523615445623,0,102,-56,-1,-1,0
1523615445623,3014656,102,-56,-1,-1,0
1523615445623,6619136,102,-56,-1,-1,0
1523615445623,7405568,102,-56,-1,-1,0
1523615445662,4456448,102,-56,-1,-1,0
1523615445662,851968,102,-56,-1,-1,0
1523615445662,-720896,102,-56,-1,-1,0
1523615445662,-917504,102,-56,-1,-1,0
1523615445662,-720896,102,-56,-1,-1,0
1523615445703,-720896,102,-56,-1,-1,0
1523615445703,-655360,102,-56,-1,-1,0
1523615445703,-655360,102,-56,-1,-1,0
1523615445703,-589824,102,-56,-1,-1,0
1523615445703,-589824,102,-56,-1,-1,0
1523615445743,-524288,102,-56,-1,-1,0
1523615445743,-393216,102,-56,-1,-1,0
1523615445743,-262144,102,-56,-1,-1,0
1523615445743,-131072,102,-56,-1,-1,0
1523615445743,0,102,-56,-1,-1,0
1523615445783,65536,102,-56,-1,-1,0
1523615445783,262144,102,-56,-1,-1,0
1523615445783,524288,102,-56,-1,-1,0
1523615445783,851968,102,-56,-1,-1,0
1523615445783,1114112,102,-56,-1,-1,0
1523615445823,1376256,102,-56,-1,-1,0
1523615445823,1507328,102,-56,-1,-1,0
1523615445823,1507328,102,-56,-1,-1,0
1523615445823,1441792,102,-56,-1,-1,0
1523615445823,1310720,102,-56,-1,-1,0
1523615445863,983040,102,-56,-1,-1,0
1523615445863,655360,102,-56,-1,-1,0
1523615445863,327680,102,-56,-1,-1,0
1523615445863,65536,102,-56,-1,-1,0
1523615445863,-65536,102,-56,-1,-1,0
1523615445903,-262144,102,-56,-1,-1,0
1523615445903,-458752,102,-56,-1,-1,0
1523615445903,-524288,102,-56,-1,-1,0
1523615445903,-589824,102,-56,-1,-1,0
1523615445903,-589824,102,-56,-1,-1,0
1523615445943,-524288,102,-56,-1,-1,0
1523615445943,-524288,102,-56,-1,-1,0
1523615445943,-524288,102,-56,-1,-1,0
1523615445943,-524288,102,-56,-1,-1,0
1523615445943,-458752,102,-56,-1,-1,0
