milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
0,-917504,92,-56,-1,-1,0
33,-1048576,92,-56,-1,-1,0
66,-917504,92,-56,-1,-1,0
100,-983040,92,-56,-1,-1,0
133,-1245184,92,-56,-1,-1,0
166,-1245184,92,-56,-1,-1,0
200,9371648,92,-56,-1,-1,0
233,-393216,92,-56,-1,-1,0
266,-851968,92,-56,-1,-1,0
300,-131072,92,-56,-1,-1,0
333,655360,92,-56,-1,-1,0
366,1900544,92,-56,-1,-1,0
400,720896,92,-56,-1,-1,0
433,-720896,92,-56,-1,-1,0
466,-917504,92,-56,-1,-1,0
500,-589824,92,-56,-1,-1,0
533,-589824,92,-56,-1,-1,0
566,-786432,92,-56,-1,-1,0
600,-393216,92,-56,-1,-1,0
633,-589824,92,-56,-1,-1,0
666,-589824,92,-56,-1,-1,0
700,262144,92,-56,-1,-1,0
733,6750208,92,-56,-1,-1,0
766,-65536,92,-56,-1,-1,0
800,0,92,-56,-1,-1,0
833,327680,92,-56,-1,-1,0
866,1507328,92,-56,-1,-1,0
900,1900544,92,-56,-1,-1,0
933,0,92,-56,-1,-1,0
966,-983040,92,-56,-1,-1,0
1000,-1114112,92,-56,-1,-1,0
1033,-1179648,92,-56,-1,-1,0
1066,-1179648,92,-56,-1,-1,0
1100,-1507328,92,-56,-1,-1,0
1133,-1048576,92,-56,-1,-1,0
1166,-1638400,92,-56,-1,-1,0
1200,-1703936,92,-56,-1,-1,0
1233,2949120,92,-56,-1,-1,0
1266,-262144,92,-56,-1,-1,0
1300,-1245184,92,-56,-1,-1,0
1333,-851968,92,-56,-1,-1,0
1366,-196608,92,-56,-1,-1,0
1400,917504,92,-56,-1,-1,0
1433,655360,92,-56,-1,-1,0
1466,-786432,92,-56,-1,-1,0
1500,-1376256,92,-56,-1,-1,0
1533,-1179648,92,-56,-1,-1,0
1566,-1114112,92,-56,-1,-1,0
1600,-1245184,92,-56,-1,-1,0
1633,-1376256,92,-56,-1,-1,0
1666,-851968,92,-56,-1,-1,0
1700,-1245184,92,-56,-1,-1,0
1733,-1179648,92,-56,-1,-1,0
1766,5308416,92,-56,-1,-1,0
1800,-131072,92,-56,-1,-1,0
1833,-720896,92,-56,-1,-1,0
1866,-393216,92,-56,-1,-1,0
1900,262144,92,-56,-1,-1,0
1933,1507328,92,-56,-1,-1,0
1966,1048576,92,-56,-1,-1,0
2000,-655360,92,-56,-1,-1,0
2033,-917504,92,-56,-1,-1,0
2066,-917504,92,-56,-1,-1,0
2100,-851968,92,-56,-1,-1,0
2133,-917504,92,-56,-1,-1,0
2166,-1048576,92,-56,-1,-1,0
2200,-720896,92,-56,-1,-1,0
2233,-1179648,92,-56,-1,-1,0
2266,-1114112,92,-56,-1,-1,0
2300,3866624,92,-56,-1,-1,0
2333,327680,92,-56,-1,-1,0
2366,-524288,92,-56,-1,-1,0
2400,-262144,92,-56,-1,-1,0
2433,458752,92,-56,-1,-1,0
2466,1769472,92,-56,-1,-1,0
2500,1703936,92,-56,-1,-1,0
2533,-262144,92,-56,-1,-1,0
2566,-786432,92,-56,-1,-1,0
2600,-786432,92,-56,-1,-1,0
2633,-589824,92,-56,-1,-1,0
2666,-720896,92,-56,-1,-1,0
2700,-851968,92,-56,-1,-1,0
2733,-524288,92,-56,-1,-1,0
2766,-917504,92,-56,-1,-1,0
2800,-983040,92,-56,-1,-1,0
2833,1703936,92,-56,-1,-1,0
2866,2031616,92,-56,-1,-1,0
2900,-524288,92,-56,-1,-1,0
2933,-393216,92,-56,-1,-1,0
2966,327680,92,-56,-1,-1,0
3000,1900544,92,-56,-1,-1,0
3033,1900544,92,-56,-1,-1,0
3066,-65536,92,-56,-1,-1,0
3100,-851968,92,-56,-1,-1,0
3133,-786432,92,-56,-1,-1,0
3166,-720896,92,-56,-1,-1,0
3200,-917504,92,-56,-1,-1,0
3233,-1048576,92,-56,-1,-1,0
3266,-589824,92,-56,-1,-1,0
3300,-1114112,92,-56,-1,-1,0
3333,-1245184,92,-56,-1,-1,0
3366,-393216,92,-56,-1,-1,0
3400,6291456,92,-56,-1,-1,0
3433,-655360,92,-56,-1,-1,0
3466,-589824,92,-56,-1,-1,0
3500,-65536,92,-56,-1,-1,0
3533,1114112,92,-56,-1,-1,0
3566,1703936,92,-56,-1,-1,0
3600,-65536,92,-56,-1,-1,0
3633,-1048576,92,-56,-1,-1,0
3666,-917504,92,-56,-1,-1,0
3699,-720896,92,-56,-1,-1,0
3733,-786432,92,-56,-1,-1,0
3766,-851968,92,-56,-1,-1,0
3800,-983040,92,-56,-1,-1,0
3833,-393216,92,-56,-1,-1,0
3866,-720896,92,-56,-1,-1,0
3900,-720896,92,-56,-1,-1,0
3933,589824,91,-56,-1,-1,0
3966,4849664,91,-56,-1,-1,0
4000,-65536,91,-56,-1,-1,0
4033,0,91,-56,-1,-1,0
4066,589824,91,-56,-1,-1,0
4100,1769472,91,-56,-1,-1,0
4133,2097152,91,-56,-1,-1,0
4166,327680,91,-56,-1,-1,0
4200,-589824,91,-56,-1,-1,0
4233,-589824,91,-56,-1,-1,0
4266,-524288,91,-56,-1,-1,0
4300,-655360,91,-56,-1,-1,0
4333,-851968,91,-56,-1,-1,0
4366,-917504,91,-56,-1,-1,0
4400,-1376256,91,-56,-1,-1,0
4433,-917504,91,-56,-1,-1,0
4466,-1441792,91,-56,-1,-1,0
4500,-1376256,91,-56,-1,-1,0
4533,3211264,90,-56,-1,-1,0
4566,-262144,90,-56,-1,-1,0
4600,-1048576,90,-56,-1,-1,0
4633,-655360,90,-56,-1,-1,0
4666,-65536,90,-56,-1,-1,0
4700,1114112,90,-56,-1,-1,0
4733,917504,90,-56,-1,-1,0
4766,-720896,90,-56,-1,-1,0
4800,-1114112,90,-56,-1,-1,0
4833,-1048576,90,-56,-1,-1,0
4866,-1179648,90,-56,-1,-1,0
4900,-1048576,90,-56,-1,-1,0
4933,-1245184,90,-56,-1,-1,0
4966,-1179648,90,-56,-1,-1,0
5000,-1179648,90,-56,-1,-1,0
5033,-1114112,90,-56,-1,-1,0
5066,-1114112,90,-56,-1,-1,0
5100,-1245184,90,-56,-1,-1,0
5133,10092544,90,-56,-1,-1,0
5166,-262144,90,-56,-1,-1,0
5200,-524288,90,-56,-1,-1,0
5233,-131072,90,-56,-1,-1,0
5266,1048576,90,-56,-1,-1,0
